Lexema:   ,      Tipo:  coma   Linea   45   Columna 14
Lexema:   #000000      Tipo:  CodigoColor   Linea   45   Columna 22
Lexema:   ]      Tipo:  corcheteCerrar   Linea   45   Columna 22
Lexema:   ,      Tipo:  coma   Linea   45   Columna 23
Lexema:   [      Tipo:  corcheteAbrir   Linea   46   Columna 4
Lexema:   10      Tipo:  entero   Linea   46   Columna 7
Lexema:   ,      Tipo:  coma   Linea   46   Columna 7
Lexema:   15      Tipo:  entero   Linea   46   Columna 10
Lexema:   ,      Tipo:  coma   Linea   46   Columna 10
Lexema:   TRUE      Tipo:  boleano   Linea   46   Columna 15
Lexema:   ,      Tipo:  coma   Linea   46   Columna 15
Lexema:   #000000      Tipo:  CodigoColor   Linea   46   Columna 23
Lexema:   ]      Tipo:  corcheteCerrar   Linea   46   Columna 23
Lexema:   ,      Tipo:  coma   Linea   46   Columna 24
Lexema:   [      Tipo:  corcheteAbrir   Linea   47   Columna 4
Lexema:   11      Tipo:  entero   Linea   47   Columna 7
Lexema:   ,      Tipo:  coma   Linea   47   Columna 7
Lexema:   15      Tipo:  entero   Linea   47   Columna 10
Lexema:   ,      Tipo:  coma   Linea   47   Columna 10
Lexema:   TRUE      Tipo:  boleano   Linea   47   Columna 15
Lexema:   ,      Tipo:  coma   Linea   47   Columna 15
Lexema:   #000000      Tipo:  CodigoColor   Linea   47   Columna 23
Lexema:   ]      Tipo:  corcheteCerrar   Linea   47   Columna 23
Lexema:   ,      Tipo:  coma   Linea   47   Columna 24
Lexema:   [      Tipo:  corcheteAbrir   Linea   48   Columna 4
Lexema:   12      Tipo:  entero   Linea   48   Columna 7
Lexema:   ,      Tipo:  coma   Linea   48   Columna 7
Lexema:   15      Tipo:  entero   Linea   48   Columna 10
Lexema:   ,      Tipo:  coma   Linea   48   Columna 10
Lexema:   TRUE      Tipo:  boleano   Linea   48   Columna 15
Lexema:   ,      Tipo:  coma   Linea   48   Columna 15
